L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.28,2.0,4,-1,-1,9.37528067661972,-7.36322763220029,37.80356431424558,1.9991321466905816,50.79268694587619,0.3789418631150479,44.569850941724994,2.852837084671232,1.0
12,72,0.28,2.0,5,-1,-1,9.3940846129273,-7.341874722145119,37.798642257495125,1.9919065659314117,50.83651728567044,0.4937822488672929,44.53909031580073,2.767035848729404,1.0
12,72,0.28,2.0,6,-1,-1,9.388942429743093,-7.366850558518695,37.768595184926994,1.9423794662543472,51.00616731691628,0.5542787282074574,44.55030687882937,2.7940634490930196,1.0
12,72,0.26,2.0,1,-1,-1,9.290133112204302,-7.534416705690818,38.09330906584482,1.9980837768879216,51.607466207525405,0.4576709988809427,45.429210631970264,3.216527868033661,1.0
12,72,0.26,2.0,2,-1,-1,9.302326946486083,-7.465987730278925,38.0777147510142,2.017344268396066,51.747889486381744,0.5479967238637864,45.39411276380953,3.131025409518,1.0
12,72,0.26,2.0,3,-1,-1,9.271902777317369,-7.470216900672287,38.00502805192468,2.0019308518623498,51.98346654820243,0.7724770416806417,45.28481799749039,3.067973545086075,1.0
12,72,0.26,2.0,4,-1,-1,9.317037260550142,-7.464312807626283,38.04184248840863,2.0138609677202233,51.60286193417837,0.4701921927733545,45.38556530587393,3.1916530254026805,1.0
12,72,0.26,2.0,5,-1,-1,9.320292209392807,-7.494365413148823,38.10801882508397,2.0579416204556997,51.823135308403,0.6807615765311112,45.43098841944422,3.1757005458201717,1.0
12,72,0.26,2.0,6,-1,-1,9.27860126470054,-7.459084905901233,38.01071521542384,2.012046493478806,52.0254819930547,0.7565070719233692,45.3086191257389,3.1534413237628565,1.0
12,72,0.14,4.0,1,1,1,3.870870257965029,-4.480480331469859,30.042591575090615,4.849616023084984,29.02778208812341,2.5466352465305695,46.03903548531652,-1.1630832677244398,1.0
12,72,0.14,4.0,2,1,1,3.878335318861835,-4.53528503260891,29.915723001528477,4.77441253642908,29.248535072309345,2.773587056042998,45.58709276491818,-1.64879629963412,1.0
12,72,0.14,4.0,3,1,1,3.850184178583272,-4.393959547091554,30.040079457763454,4.8679182425342535,29.349992708300835,2.923487559544153,45.13280197586239,-1.408561567465925,1.0
12,72,0.14,4.0,4,1,1,3.873936613392426,-4.499740484545541,30.020495774698414,4.839655485535485,28.99493262114845,2.493012396678116,45.905949425664375,-1.3346218296185175,1.0
12,72,0.14,4.0,5,1,1,3.862029471655996,-4.435208478839337,29.99947071870408,4.814660608872105,29.1336302484477,2.606929171165995,45.46691570781114,-1.473275436079271,1.0
12,72,0.14,4.0,6,1,1,3.863889902649515,-4.396675105658778,30.056060262490803,4.812102808793498,28.891003059327524,2.3401396842982933,45.71837734087361,-1.2597711779003535,1.0
12,72,0.12,4.0,1,1,1,3.881050310275455,-4.543814084157684,30.37592744878425,5.09163329401476,35.581714423414994,3.999412774321692,45.99389964181202,-1.1886658976508802,1.0
12,72,0.12,4.0,2,1,1,3.8646877849970496,-4.516853684251439,30.37630461881239,5.093449492705025,36.33703916222245,4.573572938657331,45.6190848384222,-1.4918622957966652,1.0
12,72,0.12,4.0,3,1,1,3.84337534121168,-4.337830283447528,30.245410972005622,4.894299894348926,35.67233429497493,4.02643726551779,44.539781860916335,-2.071532400799992,1.0
12,72,0.12,4.0,4,1,1,3.8753465853739257,-4.555745346747252,30.45515513029036,5.166444308503989,36.58320392215728,4.464097750425652,45.55086662559518,-1.9058693004305065,1.0
12,72,0.12,4.0,5,1,1,3.854413656569794,-4.455569701898282,30.325506527436865,5.045706581232736,35.853759573173406,4.224721087070655,46.18063052518064,-0.7816531706151786,1.0
12,72,0.12,4.0,6,1,1,3.8330258690881633,-4.332570413734173,30.39567861904745,4.929039779353786,36.20777252034033,4.2805330342746855,44.15157308561298,-2.2925684528001367,1.0
12,72,0.24,2.0,1,-1,-1,9.404390788638732,-7.423512571059081,38.108505479990605,2.16063015076307,54.1017400818047,0.9093773236988568,59.53781164456327,-2.3910417176838945,1.0
12,72,0.24,2.0,2,-1,-1,9.383419934244356,-7.444375802291594,38.11287242132803,2.1499243143881506,53.95389268519652,0.7186003000998505,59.209535893408635,-2.6252432612696395,1.0
12,72,0.24,2.0,3,-1,-1,9.394573705737796,-7.4058515006172225,38.073071211438226,2.131225258786978,53.8660856158095,0.7523923367767981,59.362932710590584,-2.5220639076236844,1.0
12,72,0.24,2.0,4,-1,-1,9.390884799519236,-7.429778587619279,38.09523266180249,2.1701111413439285,54.123834944437064,0.9118289665727846,59.50017805452383,-2.3162003045191155,1.0
12,72,0.24,2.0,5,-1,-1,9.42557295342586,-7.399041065966631,38.106012659316825,2.1599139030139747,54.06598096933554,0.8651867203307191,59.22863523449926,-2.636217737470276,1.0
12,72,0.24,2.0,6,-1,-1,9.392945576549309,-7.416517296209699,38.08023462226476,2.154045511301457,53.89726993523398,0.7850994750633936,59.26701300418048,-2.5737232711629,1.0
