L,U,delta,dtot_raw,net,P_d,P_dxy,dtot_N,son,sext,d,dxy
8,4.0,0.5,0.7107568239999998,1.8000000320123055e-08,-0.00017992400972274088,0.0011585888820301266,0.011105575374999998,-0.151711475,0.416670455,0.089493673,0.3635173
8,4.0,0.6,0.5984129199999999,3.200000013581228e-08,-0.0004107356822479836,0.0008425829823570568,0.009350201874999998,-0.147423561,0.388933372,0.081212391,0.354247718
8,4.0,0.7,0.5330321549999997,2.0999999912618694e-08,4.7347172608958674e-05,0.0010032906346252285,0.008328627421874995,-0.143269815,0.36530345,0.081382186,0.340876836
8,5.0,0.1,1.1301790969999999,6.099999983605331e-08,-5.165278605330549e-05,0.0003951349697302222,0.017659048390624998,-0.062104365,0.492369631,0.247950895,-0.023456654
8,5.0,0.2,2.2366608809999997,7.100000021936781e-08,5.936759695534824e-05,0.00038109420729407243,0.034947826265624996,-0.064772649,0.493559136,0.247155045,-0.017446149
8,5.0,0.3,3.1966763239999993,8.400000015007514e-08,0.0016046321464583803,-0.0005458148452908184,0.04994806756249999,-0.071432636,0.500072736,0.25577692,0.003725415
8,5.0,0.4,3.9198112709999995,7.699999993865392e-08,-0.001083745681087297,-0.0013167149467044135,0.06124705110937499,-0.081336092,0.49926753,0.245264616,0.048314761
8,5.0,0.5,3.4704913919999996,3.799999976489277e-08,0.0037194880751076744,0.00237941216582628,0.05422642799999999,-0.108629523,0.487493543,0.247566372,0.209474112
8,5.0,0.6,2.9248306270000004,5.899999980241155e-08,0.0008224852846426509,0.0027269325508900476,0.045700478546875006,-0.112796387,0.457492316,0.273748083,0.248324978
8,5.0,0.7,0.918669075,2.6999999822724385e-08,-0.0004603591243874632,0.0014222096498181153,0.014354204296875,-0.156010741,0.441364103,0.104272573,0.426896655
12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
12,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
12,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
12,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
12,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
12,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.0,0.1,8.680385982,1.5820000004995727e-06,-0.0008451594832993577,-0.034092493751409395,0.06028045820833334,-0.10622456,0.284346386,0.046870414,0.017359874
12,2.0,0.2,11.582022061,1.4990000005710158e-06,0.00028299032147541546,-0.06805190146232443,0.08043070875694444,-0.101387757,0.269836989,0.038903561,0.073015779
12,2.0,0.3,2.057176642000001,1.299999999732071e-07,-0.0001741145971294053,0.01635250127192767,0.014285948902777783,-0.115899432,0.249585004,0.020589607,0.165072104
12,2.0,0.4,0.44240599200000064,-1.1999999289385999e-08,-0.0009074022074574211,0.0001529190840037404,0.0030722638333333377,-0.110011924,0.229221828,0.022896459,0.182875144
12,2.0,0.5,0.3773264330000001,7.000000262595563e-09,-0.0001357854381644367,0.00012179450300477651,0.00262032245138889,-0.104689685,0.211165838,0.019515466,0.182798458
12,2.0,0.6,0.4164787949999998,-6.999999718759753e-09,0.0016749601187875014,-0.00011503061805693915,0.002892213854166665,-0.100011094,0.195483959,0.020053445,0.179415847
12,2.0,0.7,0.3033521410000004,9.999998329401905e-10,-0.00030913872646888617,-0.00010026912061800639,0.002106612090277781,-0.095582769,0.181542202,0.021002399,0.173618306
